page,revision,anon,comment,parentid,revid,size,timestamp,user,userid
Hillary Rodham Clinton,119,False,,2442163,2449488,8107,2004-02-19 07:40:16,Ike,38985
Hillary Rodham Clinton,120,True,,2449488,2545899,8109,2004-02-19 22:06:31,141.213.168.77,0
Hillary Rodham Clinton,121,True,,2545899,2545933,7375,2004-02-27 04:42:42,65.178.208.134,0
Hillary Rodham Clinton,122,False,Reverted edits by 65.178.208.134 to last version by 141.213.168.77,2545933,2546022,8109,2004-02-27 04:47:16,Meelar,31618
Hillary Rodham Clinton,123,False,further reading,2546022,2546029,8172,2004-02-27 04:59:56,Gamaliel,44846
Hillary Rodham Clinton,124,False,,2546029,2546061,8169,2004-02-27 05:00:35,Gamaliel,44846
Hillary Rodham Clinton,125,False,,2546061,2607387,8165,2004-02-27 05:03:53,Gamaliel,44846
Hillary Rodham Clinton,126,False,,2607387,2607410,8265,2004-03-03 05:23:53,Anthony,34793
Hillary Rodham Clinton,127,False,,2607410,2670536,8361,2004-03-03 05:25:51,Anthony,34793
Hillary Rodham Clinton,128,False,,2670536,2829152,8373,2004-03-07 21:56:45,Colipon,14772
Hillary Rodham Clinton,129,False,Redundancy,2829152,2898276,8300,2004-03-19 11:04:05,Ronabop,7516
Hillary Rodham Clinton,130,True,,2898276,2898320,8687,2004-03-24 12:51:27,65.41.21.246,0
Hillary Rodham Clinton,131,False,Reverted edits by 65.41.21.246 to last version by Ronabop,2898320,2918493,8300,2004-03-24 12:54:54,Ahoerstemeier,7580
Hillary Rodham Clinton,132,True,,2918493,2921414,8488,2004-03-25 22:26:43,69.141.125.231,0
Hillary Rodham Clinton,133,False,added context for controversial joke,2921414,3055778,8557,2004-03-26 02:33:48,Meelar,31618
Hillary Rodham Clinton,134,False,signature,3055778,3071119,8578,2004-04-04 18:17:20,Avala,50816
Hillary Rodham Clinton,135,False,=Writings=,3071119,3071127,8577,2004-04-05 19:01:07,AmericanCentury21,35792
Hillary Rodham Clinton,136,False,=Writings=,3071127,3071176,8581,2004-04-05 19:01:35,AmericanCentury21,35792
Hillary Rodham Clinton,137,False,=External link=,3071176,3073225,8660,2004-04-05 19:05:01,AmericanCentury21,35792
Hillary Rodham Clinton,138,False,see talk,3073225,3073696,8634,2004-04-05 21:28:28,Anthony,34793
Hillary Rodham Clinton,139,False,No need to be removed,3073696,3073734,8662,2004-04-05 22:02:45,AmericanCentury21,35792
Hillary Rodham Clinton,140,False,see talk,3073734,3079376,8636,2004-04-05 22:06:17,Anthony,34793
Hillary Rodham Clinton,141,False,New image markup.,3079376,3079407,8604,2004-04-06 06:49:29,Eurleif,6516
Hillary Rodham Clinton,142,False,dont create thumbs where no larger version exists,3079407,3097141,8604,2004-04-06 06:53:08,Jiang,10049
Hillary Rodham Clinton,143,False,sig + name correction,3097141,3097151,8665,2004-04-07 13:33:15,Avala,50816
Hillary Rodham Clinton,144,False,real name used for an example on whitehouse website,3097151,3097167,8668,2004-04-07 13:34:03,Avala,50816
Hillary Rodham Clinton,145,False,middle name,3097167,3101476,8671,2004-04-07 13:35:40,Avala,50816
Hillary Rodham Clinton,146,False,change to common name of Bill Clinton,3101476,3110609,8665,2004-04-07 20:07:15,Meelar,31618
Hillary Rodham Clinton,147,False,Deleting non sense,3110609,3113148,8605,2004-04-08 16:05:02,AmericanCentury21,35792
Hillary Rodham Clinton,148,False,do not orphan images w/o putting them on wp:ifd,3113148,3134017,8659,2004-04-08 20:09:52,Jiang,10049
Hillary Rodham Clinton,149,False,Bill is cowboy name lets put real name in here,3134017,3136113,8665,2004-04-10 10:08:00,Avala,50816
Hillary Rodham Clinton,150,False,changed William to Bill,3136113,3138024,8659,2004-04-10 15:35:33,Meelar,31618
Hillary Rodham Clinton,151,True,Changed Bill to William,3138024,3139334,8665,2004-04-10 18:50:49,212.62.63.172,0
Hillary Rodham Clinton,152,False,"changed ""William"" to ""Bill""",3139334,3146433,8659,2004-04-10 20:50:55,Meelar,31618
Hillary Rodham Clinton,153,False,,3146433,3146590,8696,2004-04-11 10:08:31,Avala,50816
Hillary Rodham Clinton,154,False,Reverted edits by Avala to last version by Meelar,3146590,3169266,8659,2004-04-11 10:38:07,Jiang,10049
Hillary Rodham Clinton,155,False,,3169266,3169286,8659,2004-04-13 04:36:59,GuitarManARS,59347
Hillary Rodham Clinton,156,False,,3169286,3169316,8659,2004-04-13 04:39:29,GuitarManARS,59347
Hillary Rodham Clinton,157,False,"Minor grammatical changes...sorry I've edited this so many times, I made some mistakes myself :)",3169316,3169324,8681,2004-04-13 04:42:18,GuitarManARS,59347
Hillary Rodham Clinton,158,False,Reverted edits by GuitarManARS to last version by Jiang,3169324,3169447,8659,2004-04-13 04:43:17,Hadal,33103
Hillary Rodham Clinton,159,False,"More spelling, grammar, etc.",3169447,3169458,8668,2004-04-13 05:01:40,GuitarManARS,59347
Hillary Rodham Clinton,160,False,Reverted edits by GuitarManARS to last version by Hadal,3169458,3169491,8659,2004-04-13 05:03:54,Hadal,33103
Hillary Rodham Clinton,161,False,"At one point, renames ""Clinton"", ""Beelzebub""",3169491,3169496,8661,2004-04-13 05:07:25,GuitarManARS,59347
Hillary Rodham Clinton,162,False,Reverted edits by GuitarManARS to last version by Hadal,3169496,3186962,8659,2004-04-13 05:08:01,Hadal,33103
Hillary Rodham Clinton,163,True,,3186962,3187066,8666,2004-04-14 17:47:32,209.2.7.3,0
Hillary Rodham Clinton,164,True,,3187066,3187618,8668,2004-04-14 17:58:00,69.27.252.248,0
Hillary Rodham Clinton,165,False,"Reverted to last version by Hadal, due to minor vandalism",3187618,3189195,8659,2004-04-14 18:44:26,AaronW,51974
Hillary Rodham Clinton,166,False,reordered confusing first sentence,3189195,3189426,8659,2004-04-14 21:24:44,Ajd,28804
Hillary Rodham Clinton,167,False,=Writings=,3189426,3194687,8651,2004-04-14 21:57:34,Radicalsubversiv,7496
Hillary Rodham Clinton,168,False,"=First Lady of the United States= scoured the web, can find no reference to her having a master's",3194687,3226851,8547,2004-04-15 06:49:58,Radicalsubversiv,7496
Hillary Rodham Clinton,169,True,,3226851,3226863,8668,2004-04-17 14:37:30,67.86.181.45,0
Hillary Rodham Clinton,170,True,,3226863,3226869,8644,2004-04-17 14:38:43,67.86.181.45,0
Hillary Rodham Clinton,171,False,revert vandalism,3226869,3276327,8551,2004-04-17 14:39:30,Cribcage,7655
Hillary Rodham Clinton,172,True,,3276327,3440208,8555,2004-04-21 02:51:18,24.187.195.43,0
Hillary Rodham Clinton,173,True,Minor typo fixed,3440208,3441605,8556,2004-05-04 03:29:19,68.209.120.216,0
Hillary Rodham Clinton,174,False,=First Lady of the United States=,3441605,3441842,8554,2004-05-04 06:20:46,Radicalsubversiv,7496
Hillary Rodham Clinton,175,False,,3441842,3459081,8540,2004-05-04 06:54:14,Gamaliel,44846
Hillary Rodham Clinton,176,True,added her membership on the Wal-Mart board of directors,3459081,3500217,8588,2004-05-05 14:14:38,146.82.188.110,0
Hillary Rodham Clinton,177,False,=First Lady of the United States=,3500217,3500242,8586,2004-05-08 16:44:06,Apox,58483
Hillary Rodham Clinton,178,False,=Quotations=,3500242,3730834,8584,2004-05-08 16:47:12,Apox,58483
Hillary Rodham Clinton,179,False,+Pic of Hillary and her husband attending Nixon's funeral,3730834,3734029,8737,2004-05-25 22:54:08,WhisperToMe,15708
Hillary Rodham Clinton,180,False,Caption Correction,3734029,3735069,8786,2004-05-26 03:26:10,Chrisn4255,64194
Hillary Rodham Clinton,181,False,=Further reading=,3735069,3735078,9055,2004-05-26 05:51:23,WhisperToMe,15708
Hillary Rodham Clinton,182,False,=Quotations=,3735078,3829087,9078,2004-05-26 05:52:14,WhisperToMe,15708
Hillary Rodham Clinton,183,True,/* Future presidential bid? */,3829087,3837098,9047,2004-06-01 20:27:17,128.208.3.56,0
Hillary Rodham Clinton,184,False,,3837098,3855069,9047,2004-06-02 06:39:30,AmericanCentury21,35792
Hillary Rodham Clinton,185,False,/* First Lady of the United States */,3855069,3855145,9321,2004-06-03 06:13:36,WhisperToMe,15708
Hillary Rodham Clinton,186,False,/* First Lady of the United States */,3855145,3855154,9327,2004-06-03 06:20:48,AmericanCentury21,35792
Hillary Rodham Clinton,187,False,/* First Lady of the United States */,3855154,3855155,9329,2004-06-03 06:21:28,AmericanCentury21,35792
Hillary Rodham Clinton,188,False,/* First Lady of the United States */,3855155,3855648,9240,2004-06-03 06:22:01,AmericanCentury21,35792
Hillary Rodham Clinton,189,False,Align pics so they display correctly on my monitor,3855648,3857572,9321,2004-06-03 07:20:23,WhisperToMe,15708
Hillary Rodham Clinton,190,False,,3857572,3857624,9396,2004-06-03 10:35:47,IZAK,6549
Hillary Rodham Clinton,191,False,,3857624,3858999,9485,2004-06-03 10:40:34,IZAK,6549
Hillary Rodham Clinton,192,False,/* Attitudes towards her */ added balance,3858999,3871125,9677,2004-06-03 14:39:50,Meelar,31618
Hillary Rodham Clinton,193,False,"Removing, this is not a gossip column or tabloid.  The truth is no one knows about their marriage and they shouldn't.",3871125,3871191,9205,2004-06-03 20:16:54,AmericanCentury21,35792
Hillary Rodham Clinton,194,False,/* Scandals */,3871191,3871472,9134,2004-06-03 20:18:40,AmericanCentury21,35792
Hillary Rodham Clinton,195,False,,3871472,3871521,8760,2004-06-03 20:28:03,AmericanCentury21,35792
Hillary Rodham Clinton,196,False,,3871521,3871568,8735,2004-06-03 20:29:34,AmericanCentury21,35792
Hillary Rodham Clinton,197,False,/* First Lady of the United States */,3871568,3871786,8524,2004-06-03 20:31:00,AmericanCentury21,35792
Hillary Rodham Clinton,198,False,"reinsert bit about marriage (rephrased), reinsert bit about the right wing criticizing her (it's true), remove two non-neutral, content-free sentences",3871786,3949019,8950,2004-06-03 20:40:51,Meelar,31618
Hillary Rodham Clinton,199,True,/* Quotations */,3949019,3962211,9044,2004-06-05 08:27:25,24.106.244.202,0
Hillary Rodham Clinton,200,False,/* Childhood and early career */,3962211,3981792,9041,2004-06-06 02:41:36,Erik Zachte,4691
Hillary Rodham Clinton,201,True,,3981792,3981809,9064,2004-06-08 15:18:07,169.139.252.4,0
Hillary Rodham Clinton,202,False,Reverted edits by 169.139.252.4 to last version by Erik Zachte,3981809,4048768,9041,2004-06-08 15:20:15,Hadal,33103
Hillary Rodham Clinton,203,True,/* Quotations */,4048768,4049131,9484,2004-06-12 07:03:51,141.168.102.44,0
Hillary Rodham Clinton,204,False,removed lame joke,4049131,4070994,9041,2004-06-12 07:36:00,Gamaliel,44846
Hillary Rodham Clinton,205,True,,4070994,4072546,9375,2004-06-13 15:12:50,12.77.228.191,0
Hillary Rodham Clinton,206,False,revert due to idiot vandalism,4072546,4104138,9041,2004-06-13 17:38:01,Gamaliel,44846
Hillary Rodham Clinton,207,False,"Removed an extraneous instance of ""in""",4104138,4106530,9038,2004-06-15 15:44:17,AlexanderWinston,61052
Hillary Rodham Clinton,208,True,/* First Lady of the United States */,4106530,4106610,9138,2004-06-15 18:37:37,199.43.32.25,0
Hillary Rodham Clinton,209,False,Reverted edits by 199.43.32.25 to last version by AlexanderWinston,4106610,4188838,9038,2004-06-15 18:41:42,Meelar,31618
Hillary Rodham Clinton,210,False,,4188838,4188988,9039,2004-06-20 20:58:32,ChicXulub,53685
Hillary Rodham Clinton,211,False,"/* U.S. senator */ senator should be capitalized, I believe",4188988,4287626,9039,2004-06-20 21:07:49,Meelar,31618
Hillary Rodham Clinton,212,False,/* Childhood and early career */  Spelling,4287626,4287630,9038,2004-06-26 03:28:25,JoshuaNewman,81131
Hillary Rodham Clinton,213,False,/* Quotations */  Spelling,4287630,4320162,9038,2004-06-26 03:28:51,JoshuaNewman,81131
Hillary Rodham Clinton,214,False,,4320162,4341687,9138,2004-06-27 23:40:26,Postdlf,29695
Hillary Rodham Clinton,215,False,oh come on. It is a bit presumptuous to make an article like that,4341687,4352770,8375,2004-06-29 00:20:22,SimonMayer,37056
Hillary Rodham Clinton,216,False,revert.  You simply can't have an article on Hillary Clinton w/o mentioning presidential speculation.,4352770,4366138,9138,2004-06-29 16:14:36,Meelar,31618
Hillary Rodham Clinton,217,False,Add Senate swearing-in picture.,4366138,4366642,9292,2004-06-30 06:58:19,Chrisn4255,64194
Hillary Rodham Clinton,218,False,pic fmt,4366642,4519153,9301,2004-06-30 08:11:47,Palapala,40599
Hillary Rodham Clinton,219,False,Guanaco - Robot-assisted redirect bypassing: United States Senator,4519153,4872417,9322,2004-07-09 01:34:32,Guanabot,82928
Hillary Rodham Clinton,220,False,/* Quotations */,4872417,4982746,9543,2004-07-27 16:36:25,TheCustomOfLife,74099
Hillary Rodham Clinton,221,False,"/* Childhood and early career */ bolding name, adding links",4982746,5044730,9556,2004-08-03 16:40:51,Tregoweth,7402
Hillary Rodham Clinton,222,True,/* Childhood and early career */,5044730,5044757,7831,2004-08-06 21:27:45,67.33.166.158,0
Hillary Rodham Clinton,223,True,/* SHE WAS A DYKE */,5044757,5044784,7855,2004-08-06 21:28:59,24.106.244.202,0
Hillary Rodham Clinton,224,True,/* SHE WAS A DYKE */,5044784,5045596,7831,2004-08-06 21:30:17,24.106.244.202,0
Hillary Rodham Clinton,225,False,,5045596,5045609,7762,2004-08-06 22:02:08,Meelar,31618
Hillary Rodham Clinton,226,False,/* First Lady of the United States */,5045609,5178087,7751,2004-08-06 22:02:37,Meelar,31618
Hillary Rodham Clinton,227,False,,5178087,5236900,7757,2004-08-13 06:51:20,Bryan Derksen,66
Hillary Rodham Clinton,228,False,sv:,5236900,5361976,7780,2004-08-16 11:22:59,Alers,81215
Hillary Rodham Clinton,229,False,+zh,5361976,5361987,7838,2004-08-22 04:57:16,Vina,60664
Hillary Rodham Clinton,230,False,fixed Chinese link,5361987,5509451,7842,2004-08-22 04:57:53,Vina,60664
Hillary Rodham Clinton,231,True,/* Further reading */,5509451,5510980,7477,2004-08-28 23:58:49,64.123.88.195,0
